#TYPE Selected.Microsoft.ActiveDirectory.Management.ADObject
"objectclass","name","distinguishedname"
"group","Operadores de configuraci?n de red","CN=Operadores de configuraci?n de red,CN=Builtin,DC=javier,DC=cereceda"
"group","Usuarios del monitor de sistema","CN=Usuarios del monitor de sistema,CN=Builtin,DC=javier,DC=cereceda"
"group","Usuarios del registro de rendimiento","CN=Usuarios del registro de rendimiento,CN=Builtin,DC=javier,DC=cereceda"
"group","Usuarios COM distribuidos","CN=Usuarios COM distribuidos,CN=Builtin,DC=javier,DC=cereceda"
"group","IIS_IUSRS","CN=IIS_IUSRS,CN=Builtin,DC=javier,DC=cereceda"
"foreignSecurityPrincipal","S-1-5-17","CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=javier,DC=cereceda"
"group","Operadores criptogr?ficos","CN=Operadores criptogr?ficos,CN=Builtin,DC=javier,DC=cereceda"
"group","Lectores del registro de eventos","CN=Lectores del registro de eventos,CN=Builtin,DC=javier,DC=cereceda"
"group","Acceso DCOM a Serv. de certif.","CN=Acceso DCOM a Serv. de certif.,CN=Builtin,DC=javier,DC=cereceda"
"group","Servidores de acceso remoto RDS","CN=Servidores de acceso remoto RDS,CN=Builtin,DC=javier,DC=cereceda"
"group","Servidores de extremo RDS","CN=Servidores de extremo RDS,CN=Builtin,DC=javier,DC=cereceda"
"group","Servidores de administraci?n RDS","CN=Servidores de administraci?n RDS,CN=Builtin,DC=javier,DC=cereceda"
"group","Administradores de Hyper-V","CN=Administradores de Hyper-V,CN=Builtin,DC=javier,DC=cereceda"
"group","Operadores de asistencia de control de acceso","CN=Operadores de asistencia de control de acceso,CN=Builtin,DC=javier,DC=cereceda"
"group","Usuarios de administraci?n remota","CN=Usuarios de administraci?n remota,CN=Builtin,DC=javier,DC=cereceda"
"group","Storage Replica Administrators","CN=Storage Replica Administrators,CN=Builtin,DC=javier,DC=cereceda"
"samServer","Server","CN=Server,CN=System,DC=javier,DC=cereceda"
"computer","DC01","CN=DC01,OU=Domain Controllers,DC=javier,DC=cereceda"
"user","krbtgt","CN=krbtgt,CN=Users,DC=javier,DC=cereceda"
"group","Equipos del dominio","CN=Equipos del dominio,CN=Users,DC=javier,DC=cereceda"
"group","Controladores de dominio","CN=Controladores de dominio,CN=Users,DC=javier,DC=cereceda"
"group","Administradores de esquema","CN=Administradores de esquema,CN=Users,DC=javier,DC=cereceda"
"group","Administradores de empresas","CN=Administradores de empresas,CN=Users,DC=javier,DC=cereceda"
"group","Publicadores de certificados","CN=Publicadores de certificados,CN=Users,DC=javier,DC=cereceda"
"group","Admins. del dominio","CN=Admins. del dominio,CN=Users,DC=javier,DC=cereceda"
"group","Usuarios del dominio","CN=Usuarios del dominio,CN=Users,DC=javier,DC=cereceda"
"group","Invitados del dominio","CN=Invitados del dominio,CN=Users,DC=javier,DC=cereceda"
"group","Propietarios del creador de directivas de grupo","CN=Propietarios del creador de directivas de grupo,CN=Users,DC=javier,DC=cereceda"
"group","Servidores RAS e IAS","CN=Servidores RAS e IAS,CN=Users,DC=javier,DC=cereceda"
"group","Opers. de servidores","CN=Opers. de servidores,CN=Builtin,DC=javier,DC=cereceda"
"group","Opers. de cuentas","CN=Opers. de cuentas,CN=Builtin,DC=javier,DC=cereceda"
"group","Acceso compatible con versiones anteriores de Windows 2000","CN=Acceso compatible con versiones anteriores de Windows 2000,CN=Builtin,DC=javier,DC=cereceda"
"group","Creadores de confianza de bosque de entrada","CN=Creadores de confianza de bosque de entrada,CN=Builtin,DC=javier,DC=cereceda"
"group","Grupo de acceso de autorizaci?n de Windows","CN=Grupo de acceso de autorizaci?n de Windows,CN=Builtin,DC=javier,DC=cereceda"
"group","Servidores de licencias de Terminal Server","CN=Servidores de licencias de Terminal Server,CN=Builtin,DC=javier,DC=cereceda"
"foreignSecurityPrincipal","S-1-5-9","CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=javier,DC=cereceda"
"container","6E157EDF-4E72-4052-A82A-EC3F91021A22","CN=6E157EDF-4E72-4052-A82A-EC3F91021A22,CN=Operations,CN=DomainUpdates,CN=System,DC=javier,DC=cereceda"
"group","Grupo de replicaci?n de contrase?a RODC permitida","CN=Grupo de replicaci?n de contrase?a RODC permitida,CN=Users,DC=javier,DC=cereceda"
"group","Grupo de replicaci?n de contrase?a RODC denegada","CN=Grupo de replicaci?n de contrase?a RODC denegada,CN=Users,DC=javier,DC=cereceda"
"group","Controladores de dominio de s?lo lectura","CN=Controladores de dominio de s?lo lectura,CN=Users,DC=javier,DC=cereceda"
"group","Enterprise Domain Controllers de s?lo lectura","CN=Enterprise Domain Controllers de s?lo lectura,CN=Users,DC=javier,DC=cereceda"
"group","Controladores de dominio clonables","CN=Controladores de dominio clonables,CN=Users,DC=javier,DC=cereceda"
"group","Protected Users","CN=Protected Users,CN=Users,DC=javier,DC=cereceda"
"group","Administradores clave","CN=Administradores clave,CN=Users,DC=javier,DC=cereceda"
"group","Administradores clave de la organizaci?n","CN=Administradores clave de la organizaci?n,CN=Users,DC=javier,DC=cereceda"
"rIDManager","RID Manager$","CN=RID Manager$,CN=System,DC=javier,DC=cereceda"
"rIDSet","RID Set","CN=RID Set,CN=DC01,OU=Domain Controllers,DC=javier,DC=cereceda"
"group","DnsAdmins","CN=DnsAdmins,CN=Users,DC=javier,DC=cereceda"
"group","DnsUpdateProxy","CN=DnsUpdateProxy,CN=Users,DC=javier,DC=cereceda"
,,"CN=MicrosoftDNS,CN=System,DC=javier,DC=cereceda"
